country,countrycode,gdp_per_capita_2015
Aruba,ABW,
Afghanistan,AFG,1861.124332
Angola,AGO,6634.402274
Albania,ALB,11504.74824
Andorra,AND,
Arab World,ARB,16281.52746
United Arab Emirates,ARE,70245.9325
Argentina,ARG,20337.71595
Armenia,ARM,8709.541088
American Samoa,ASM,
Antigua and Barbuda,ATG,21415.70795
Australia,AUS,46475.92775
Austria,AUT,49419.33006
Azerbaijan,AZE,17779.77373
Burundi,BDI,796.9944154
Belgium,BEL,45608.42929
Benin,BEN,2115.795599
Burkina Faso,BFA,1651.232673
Bangladesh,BGD,3335.337255
Bulgaria,BGR,18248.83186
Bahrain,BHR,47333.84803
"Bahamas, The",BHS,23072.81471
Bosnia and Herzegovina,BIH,11687.07075
Belarus,BLR,18344.81613
Belize,BLZ,8583.138301
Bermuda,BMU,
Bolivia,BOL,6954.301767
Brazil,BRA,15615.34305
Barbados,BRB,16386.53613
Brunei Darussalam,BRN,79429.00002
Bhutan,BTN,8236.356471
Botswana,BWA,16350.47434
Central African Republic,CAF,666.9581719
Canada,CAN,44204.94658
Central Europe and the Baltics,CEB,26135.27255
Switzerland,CHE,62499.63716
Channel Islands,CHI,
Chile,CHL,23579.46227
China,CHN,14448.26562
Cote d'Ivoire,CIV,3461.60381
Cameroon,CMR,3184.810542
"Congo, Dem. Rep.",COD,799.0767039
"Congo, Rep.",COG,5901.682602
Colombia,COL,13825.92126
Comoros,COM,1504.525981
Cabo Verde,CPV,6301.696069
Costa Rica,CRI,15879.59677
Caribbean small states,CSS,15300.22776
Cuba,CUB,
Curacao,CUW,
Cayman Islands,CYM,
Cyprus,CYP,31539.52683
Czech Republic,CZE,33743.1909
Germany,DEU,47998.8627
Djibouti,DJI,3342.477326
Dominica,DMA,10792.96154
Denmark,DNK,48980.79173
Dominican Republic,DOM,14237.0579
Algeria,DZA,14612.68039
East Asia & Pacific (excluding high income),EAP,12959.35995
Early-demographic dividend,EAR,8741.359497
East Asia & Pacific,EAS,16097.60739
Europe & Central Asia (excluding high income),ECA,18736.42109
Europe & Central Asia,ECS,30553.25488
Ecuador,ECU,11474.13722
"Egypt, Arab Rep.",EGY,10749.09456
Euro area,EMU,41122.9317
Eritrea,ERI,
Spain,ESP,34696.33621
Estonia,EST,28946.78989
Ethiopia,ETH,1632.345013
European Union,EUU,38705.61176
Fragile and conflict affected situations,FCS,4015.536193
Finland,FIN,42275.23993
Fiji,FJI,9323.156572
France,FRA,41178.14182
Faroe Islands,FRO,
"Micronesia, Fed. Sts.",FSM,3497.619262
Gabon,GAB,17926.42909
United Kingdom,GBR,41767.28965
Georgia,GEO,9609.326029
Ghana,GHA,4184.047564
Gibraltar,GIB,
Guinea,GIN,1260.684643
"Gambia, The",GMB,1691.009744
Guinea-Bissau,GNB,1516.484388
Equatorial Guinea,GNQ,29000.91765
Greece,GRC,26357.93796
Grenada,GRD,13558.79907
Greenland,GRL,
Guatemala,GTM,7764.773594
Guam,GUM,
Guyana,GUY,7520.034232
High income,HIC,45757.97995
"Hong Kong SAR, China",HKG,56951.96372
Honduras,HND,4590.236943
Heavily indebted poor countries (HIPC),HPC,2178.991578
Croatia,HRV,22488.74622
Haiti,HTI,1758.111734
Hungary,HUN,26436.2078
IBRD only,IBD,12312.92382
IDA & IBRD total,IBT,10115.44733
IDA total,IDA,3514.073895
IDA blend,IDB,5095.123782
Indonesia,IDN,11038.79164
IDA only,IDX,2714.167126
Isle of Man,IMN,
India,IND,6126.52266
Not classified,INX,
Ireland,IRL,67974.16329
"Iran, Islamic Rep.",IRN,17046.43889
Iraq,IRQ,15895.22663
Iceland,ISL,47690.38158
Israel,ISR,36545.69896
Italy,ITA,37255.17001
Jamaica,JAM,8630.073855
Jordan,JOR,9040.64198
Japan,JPN,40686.02439
Kazakhstan,KAZ,25044.87801
Kenya,KEN,3019.193625
Kyrgyz Republic,KGZ,3447.171548
Cambodia,KHM,3503.974354
Kiribati,KIR,1995.051536
St. Kitts and Nevis,KNA,25681.53663
"Korea, Rep.",KOR,34421.57955
Kuwait,KWT,73817.07528
Latin America & Caribbean (excluding high income),LAC,14887.86376
Lao PDR,LAO,5785.93143
Lebanon,LBN,13934.50538
Liberia,LBR,836.0755712
Libya,LBY,
St. Lucia,LCA,11368.52825
Latin America & Caribbean,LCN,15373.42094
Least developed countries: UN classification,LDC,2525.271107
Low income,LIC,1636.024288
Liechtenstein,LIE,
Sri Lanka,LKA,11777.87184
Lower middle income,LMC,6458.009684
Low & middle income,LMY,9936.803037
Lesotho,LSO,2956.222006
Late-demographic dividend,LTE,15907.71911
Lithuania,LTU,28936.27363
Luxembourg,LUX,104206.1087
Latvia,LVA,24919.47884
"Macao SAR, China",MAC,107024.2842
St. Martin (French part),MAF,
Morocco,MAR,7757.253178
Monaco,MCO,
Moldova,MDA,5054.042204
Madagascar,MDG,1465.423545
Maldives,MDV,12770.27132
Middle East & North Africa,MEA,18530.63661
Mexico,MEX,17244.36578
Marshall Islands,MHL,3910.843216
Middle income,MIC,10901.64655
"Macedonia, FYR",MKD,14022.77288
Mali,MLI,2043.45923
Malta,MLT,35880.61482
Myanmar,MMR,5399.360507
Middle East & North Africa (excluding high income),MNA,12105.65198
Montenegro,MNE,16183.08271
Mongolia,MNG,12147.94215
Northern Mariana Islands,MNP,
Mozambique,MOZ,1190.601393
Mauritania,MRT,3834.745258
Mauritius,MUS,20085.1709
Malawi,MWI,1159.172993
Malaysia,MYS,26606.3433
North America,NAC,55001.18994
Namibia,NAM,10554.15923
New Caledonia,NCL,
Niger,NER,955.5868102
Nigeria,NGA,6037.697433
Nicaragua,NIC,5282.030084
Netherlands,NLD,49546.95638
Norway,NOR,62053.21292
Nepal,NPL,2449.824329
Nauru,NRU,13064.54854
New Zealand,NZL,37948.91962
OECD members,OED,40895.54618
Oman,OMN,42737.12831
Other small states,OSS,24830.70308
Pakistan,PAK,4998.758254
Panama,PAN,22012.53803
Peru,PER,12529.22823
Philippines,PHL,7319.571262
Palau,PLW,15319.32478
Papua New Guinea,PNG,
Poland,POL,26855.77467
Pre-demographic dividend,PRE,3698.73853
Puerto Rico,PRI,
"Korea, Dem. PeopleÍs Rep.",PRK,
Portugal,PRT,29687.79038
Paraguay,PRY,9198.504076
West Bank and Gaza,PSE,2865.805109
Pacific island small states,PSS,5702.555461
Post-demographic dividend,PST,43675.38663
French Polynesia,PYF,
Qatar,QAT,127500.7562
Romania,ROU,22070.53052
Russian Federation,RUS,23702.84446
Rwanda,RWA,1826.955687
South Asia,SAS,5673.64074
Saudi Arabia,SAU,54007.03619
Sudan,SDN,4568.086152
Senegal,SEN,2445.408376
Singapore,SGP,86128.17251
Solomon Islands,SLB,2186.356994
Sierra Leone,SLE,1401.248088
El Salvador,SLV,8352.971164
San Marino,SMR,
Somalia,SOM,
Serbia,SRB,14111.93856
Sub-Saharan Africa (excluding high income),SSA,3703.063647
South Sudan,SSD,1925.203224
Sub-Saharan Africa,SSF,3705.244102
Small states,SST,21904.33809
Sao Tome and Principe,STP,3132.839554
Suriname,SUR,15722.64758
Slovak Republic,SVK,29907.05936
Slovenia,SVN,31964.65399
Sweden,SWE,47823.29797
Swaziland,SWZ,8575.057385
Sint Maarten (Dutch part),SXM,
Seychelles,SYC,27177.17408
Syrian Arab Republic,SYR,
Turks and Caicos Islands,TCA,
Chad,TCD,2180.179831
East Asia & Pacific (IDA & IBRD countries),TEA,13097.22637
Europe & Central Asia (IDA & IBRD countries),TEC,19417.32812
Togo,TGO,1438.248359
Thailand,THA,16222.97175
Tajikistan,TJK,2811.513714
Turkmenistan,TKM,15962.7696
Latin America & the Caribbean (IDA & IBRD countries),TLA,15289.39517
Timor-Leste,TLS,2290.347266
Middle East & North Africa (IDA & IBRD countries),TMN,12220.32195
Tonga,TON,5524.736792
South Asia (IDA & IBRD),TSA,5673.64074
Sub-Saharan Africa (IDA & IBRD countries),TSS,3705.244102
Trinidad and Tobago,TTO,33308.42245
Tunisia,TUN,11445.69281
Turkey,TUR,24054.17775
Tuvalu,TUV,3538.945184
Tanzania,TZA,2652.195655
Uganda,UGA,1802.086206
Ukraine,UKR,7948.142096
Upper middle income,UMC,16072.5002
Uruguay,URY,21115.12664
United States,USA,56207.03675
Uzbekistan,UZB,6069.209791
St. Vincent and the Grenadines,VCT,11140.34989
"Venezuela, RB",VEN,
British Virgin Islands,VGB,
Virgin Islands (U.S.),VIR,
Vietnam,VNM,6034.259949
Vanuatu,VUT,2988.471944
World,WLD,15675.09249
Samoa,WSM,5918.610025
Kosovo,XKX,9685.990655
"Yemen, Rep.",YEM,2811.99956
South Africa,ZAF,13229.62463
Zambia,ZMB,3861.989229
Zimbabwe,ZWE,2013.167117